TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
1610612752,NYK,2024-04-02T00:00:00,43,27,16,0.628,1112.415,152,283,0.537,12,46,0.261,45,70,0.643,137,194,331,50,49,29,54,23,92,53,361,28,1033.2,7,0,920.0,4,4,1,2,3,3,3,2,4,4,4,4,4,2,2,3,2,2,3,3,1,2,3,4,3,2,3,2,1,3,Precious Achiuwa
1610612748,MIA,2024-04-02T00:00:00,64,36,28,0.563,2194.4483333333333,486,931,0.522,10,30,0.333,279,371,0.752,144,536,680,254,149,74,61,43,144,320,1261,43,2714.0,39,2,2475.0,5,4,2,3,3,2,2,6,1,1,1,3,3,4,4,2,3,3,4,5,4,5,2,4,2,4,3,2,2,3,Bam Adebayo
1610612762,UTA,2024-02-04T00:00:00,51,25,26,0.49,1003.3866666666668,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,34,27,29,21,66,24,274,-121,629.7,0,0,606.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,1,3,2,2,2,2,2,1,1,2,Ochai Agbaji
1610612750,MIN,2024-04-02T00:00:00,75,52,23,0.693,1761.0783333333334,206,475,0.434,114,297,0.384,44,56,0.786,33,119,152,185,69,57,39,24,134,73,570,266,1248.9,0,0,1213.0,1,1,4,1,1,2,2,2,1,2,2,3,3,2,2,3,2,1,2,1,1,5,7,2,2,1,1,2,1,1,Nickeil Alexander-Walker
1610612756,PHX,2024-04-01T00:00:00,69,41,28,0.594,2317.596666666667,311,616,0.505,189,403,0.469,115,131,0.878,43,220,263,217,88,60,43,22,146,125,926,210,1788.1,1,0,1801.0,2,3,6,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,4,6,1,1,3,1,1,1,1,Grayson Allen
1610612740,NOP,2024-03-26T00:00:00,51,34,17,0.667,908.1966666666668,126,309,0.408,66,178,0.371,34,50,0.68,22,93,115,107,38,55,15,21,79,43,352,208,822.5,0,0,780.0,3,1,1,1,2,3,2,3,2,2,1,3,3,2,3,2,2,3,3,3,1,2,2,3,2,1,3,2,1,2,Jose Alvarado
1610612750,MIN,2024-04-02T00:00:00,72,51,21,0.708,1654.3066666666666,188,396,0.475,10,42,0.238,94,131,0.718,59,203,262,311,85,64,42,18,111,99,480,174,1493.9,0,0,1275.0,3,3,4,3,4,5,5,4,8,6,10,4,4,5,4,7,6,2,4,5,5,6,5,4,5,3,5,7,3,5,Kyle Anderson
1610612752,NYK,2024-03-16T00:00:00,17,15,2,0.882,597.9916666666667,93,187,0.497,28,77,0.364,33,40,0.825,18,66,84,27,27,29,18,16,40,29,247,297,502.3,0,0,480.0,8,7,1,1,8,8,8,2,8,8,6,7,8,2,8,8,8,8,8,7,6,1,1,8,8,1,8,5,1,8,OG Anunoby
1610612752,NYK,2024-01-30T00:00:00,20,15,5,0.75,45.155,0,6,0.0,0,6,0.0,0,0,0.0,0,8,8,4,2,2,0,0,5,2,0,2,19.6,0,0,16.0,5,4,3,2,7,8,7,8,8,7,8,5,5,5,5,6,6,6,7,6,3,1,2,7,8,3,7,1,1,7,Ryan Arcidiacono
1610612764,WAS,2024-04-02T00:00:00,69,14,55,0.203,2051.9766666666665,370,729,0.508,80,211,0.379,173,235,0.736,81,414,495,264,145,55,29,68,172,221,993,-333,2090.0,15,0,2000.0,3,4,4,4,1,1,1,1,2,3,1,1,1,3,1,1,1,1,1,3,2,4,2,1,1,4,1,1,1,1,Deni Avdija
1610612756,PHX,2024-02-14T00:00:00,14,10,4,0.714,107.345,16,22,0.727,0,0,0.0,3,11,0.273,11,21,32,3,4,1,6,3,17,8,35,-38,94.9,1,0,84.0,4,4,2,2,3,3,3,3,1,1,1,4,2,4,3,3,3,2,3,2,3,3,2,3,3,2,3,1,1,3,Udoka Azubuike
