TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
-1,TOT,2024-04-02T00:00:00,68,35,33,0.515,1549.3,230,453,0.508,25,93,0.269,69,112,0.616,187,280,467,94,78,45,66,36,132,84,554,-25,1510.4,9,0,1362.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Precious Achiuwa
1610612752,NYK,2024-04-02T00:00:00,43,27,16,0.628,1112.415,152,283,0.537,12,46,0.261,45,70,0.643,137,194,331,50,49,29,54,23,92,53,361,28,1033.2,7,0,920.0,4,4,1,2,3,3,3,2,4,4,4,4,4,2,2,3,2,2,3,3,1,2,3,4,3,2,3,2,1,3,Precious Achiuwa
1610612761,TOR,2023-12-29T00:00:00,25,8,17,0.32,436.885,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,29,16,12,13,40,31,193,-53,477.2,2,0,442.0,5,5,2,5,5,5,5,4,3,3,2,5,5,4,5,5,5,4,5,5,5,1,1,5,5,4,5,5,1,5,Precious Achiuwa
1610612748,MIA,2024-04-02T00:00:00,64,36,28,0.563,2194.4483333333333,486,931,0.522,10,30,0.333,279,371,0.752,144,536,680,254,149,74,61,43,144,320,1261,43,2714.0,39,2,2475.0,5,4,2,3,3,2,2,6,1,1,1,3,3,4,4,2,3,3,4,5,4,5,2,4,2,4,3,2,2,3,Bam Adebayo
-1,TOT,2024-03-27T00:00:00,72,29,43,0.403,1457.6833333333334,164,396,0.414,61,200,0.305,28,42,0.667,66,128,194,73,55,42,38,37,102,42,417,-249,944.3,0,0,905.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ochai Agbaji
1610612761,TOR,2024-03-27T00:00:00,21,4,17,0.19,454.2966666666667,58,147,0.395,14,58,0.241,13,22,0.591,31,37,68,26,21,15,9,16,36,18,143,-128,314.6,0,0,299.0,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,3,3,3,3,1,1,3,Ochai Agbaji
1610612762,UTA,2024-02-04T00:00:00,51,25,26,0.49,1003.3866666666667,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,34,27,29,21,66,24,274,-121,629.7,0,0,606.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,1,3,2,2,2,2,2,1,1,2,Ochai Agbaji
1610612763,MEM,2024-04-01T00:00:00,61,23,38,0.377,1618.0566666666666,247,568,0.435,106,304,0.349,54,87,0.621,72,280,352,138,69,43,54,26,89,88,654,-275,1505.4,5,0,1444.0,2,2,3,3,2,1,1,2,1,1,2,2,2,3,2,2,2,1,1,2,1,3,2,2,2,3,2,1,1,1,Santi Aldama
1610612750,MIN,2024-04-02T00:00:00,75,52,23,0.693,1761.0783333333334,206,475,0.434,114,297,0.384,44,56,0.786,33,119,152,185,69,57,39,24,134,73,570,266,1248.9,0,0,1213.0,1,1,4,1,1,2,2,2,1,2,2,3,3,2,2,3,2,1,2,1,1,5,7,2,2,1,1,2,1,1,Nickeil Alexander-Walker
1610612756,PHX,2024-04-01T00:00:00,69,41,28,0.594,2317.596666666667,311,616,0.505,189,403,0.469,115,131,0.878,43,220,263,217,88,60,43,22,146,125,926,210,1788.1,1,0,1801.0,2,3,6,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,4,6,1,1,3,1,1,1,1,Grayson Allen
