Name,Position,Height,Weight,Last Attended,Country
Alaa Abdelnaby,Forward,"6'10""",240,Duke,USA
Zaid Abdul-Aziz,Center,"'6'9""",235,Iowa State,USA
Kareem Abdul-Jabbar,Center,"'7'2""",225,UCLA,USA
Mahmoud Abdul-Rauf,Guard,"'6'1""",162,Louisiana State,USA
Tariq Abdul-Wahad,Forward-Guard,"'6'6""",235,San Jose State,France
Shareef Abdur-Rahim,Forward,"'6'9""",245,California,USA
Tom Abernethy,Forward,"'6'7""",220,Indiana,USA
Forest Able,Guard,"'6'3""",180,Western Kentucky,USA
John Abramovic,Forward,"'6'3""",195,Salem,USA
Alex Abrines,Guard,"'6'6""",200,FC Barcelona,Spain
Precious Achiuwa,Forward,"'6'8""",243,Memphis,Nigeria
Alex Acker,Guard,"'6'5""",185,Pepperdine,USA
Donald Ackerman,Guard,"'6'0""",183,Long Island-Brooklyn,USA
Mark Acres,Center,"'6'11""",220,Oral Roberts,USA
Charles Acton,Forward,"'6'6""",210,Hillsdale,USA
Quincy Acy,Forward,"'6'7""",240,Baylor,USA
Alvan Adams,Center,"'6'9""",210,Oklahoma,USA
Don Adams,Forward,"'6'7""",210,Northwestern,USA
Hassan Adams,Forward,"'6'4""",220,Arizona,USA
Jaylen Adams,Guard,"'6'0""",225,St. Bonaventure,USA
Jordan Adams,Guard,"'6'5""",209,UCLA,USA
Michael Adams,Guard,"'5'10""",165,Boston College,USA
Steven Adams,Center,"'6'11""",265,Pittsburgh,New Zealand
Rafael Addison,Forward,"'6'8""",241,Syracuse,USA
Bam Adebayo,Center-Forward,"'6'9""",255,Kentucky,USA
Deng Adel,Forward,"'6'7""",200,Louisville,South Sudan
Rick Adelman,Guard,"'6'2""",175,Loyola-Marymount,USA
Jeff Adrien,,',,Connecticut,USA
Arron Afflalo,Guard,"'6'5""",210,UCLA,USA
Ochai Agbaji,Guard,"'6'5""",215,Kansas,USA
Maurice Ager,Forward-Guard,"'6'5""",202,Michigan State,USA
