"person_id";"player_name";"season";"round_num";"round_pick";"overall_pick";"draft_type";"team_id";"team_city";"team_name";"team_abbr";"organization";"organization_type";"player_profile_flag"
2548;"Dwyane Wade";2003;1;5;5;"Draft";1610612748;"Miami";"Heat";"MIA";"Marquette";"College/University";"1"
2549;"Chris Kaman";2003;1;6;6;"Draft";1610612746;"Los Angeles";"Clippers";"LAC";"Central Michigan";"College/University";"1"
2552;"Michael Sweetney";2003;1;9;9;"Draft";1610612752;"New York";"Knicks";"NYK";"Georgetown";"College/University";"1"
2553;"Jarvis Hayes";2003;1;10;10;"Draft";1610612764;"Washington";"Wizards";"WAS";"Georgia";"College/University";"1"
2554;"Mickael Pietrus";2003;1;11;11;"Draft";1610612744;"Golden State";"Warriors";"GSW";"Elan Bearnais Pau-Orthez (France)";"Other Team/Club";"1"
2555;"Nick Collison";2003;1;12;12;"Draft";1610612760;"Seattle";"SuperSonics";"SEA";"Kansas";"College/University";"1"
2557;"Luke Ridnour";2003;1;14;14;"Draft";1610612760;"Seattle";"SuperSonics";"SEA";"Oregon";"College/University";"1"
2559;"Troy Bell";2003;1;16;16;"Draft";1610612738;"Boston";"Celtics";"BOS";"Boston College";"College/University";"1"
2560;"Zarko Cabarkapa";2003;1;17;17;"Draft";1610612756;"Phoenix";"Suns";"PHX";"KK Buducnost Podgorica (Montenegro)";"Other Team/Club";"1"
2561;"David West";2003;1;18;18;"Draft";1610612740;"New Orleans";"Hornets";"NOH";"Xavier";"College/University";"1"
2562;"Sasha Pavlovic";2003;1;19;19;"Draft";1610612762;"Utah";"Jazz";"UTA";"KK Buducnost Podgorica (Montenegro)";"Other Team/Club";"1"
2563;"Dahntay Jones";2003;1;20;20;"Draft";1610612738;"Boston";"Celtics";"BOS";"Duke";"College/University";"1"
2569;"Ndudi Ebi";2003;1;26;26;"Draft";1610612750;"Minnesota";"Timberwolves";"MIN";"Westbury Christian School";"High School";"1"
2572;"Josh Howard";2003;1;29;29;"Draft";1610612742;"Dallas";"Mavericks";"DAL";"Wake Forest";"College/University";"1"
2573;"Maciej Lampe";2003;2;1;30;"Draft";1610612752;"New York";"Knicks";"NYK";"Madrid (ESP)";"College/University";"1"
2577;"Sofoklis Schortsanitis";2003;2;5;34;"Draft";1610612746;"Los Angeles";"Clippers";"LAC";"Iraklis Thessaloniki B.C. (Greece)";"Other Team/Club";"0"
2581;"Steve Blake";2003;2;9;38;"Draft";1610612764;"Washington";"Wizards";"WAS";"Maryland";"College/University";"1"
2582;"Slavko Vranes";2003;2;10;39;"Draft";1610612752;"New York";"Knicks";"NYK";"KK Buducnost Podgorica (Montenegro)";"Other Team/Club";"1"
2583;"Derrick Zimmerman";2003;2;11;40;"Draft";1610612744;"Golden State";"Warriors";"GSW";"Mississippi State";"College/University";"1"
2584;"Willie Green";2003;2;12;41;"Draft";1610612760;"Seattle";"SuperSonics";"SEA";"Detroit Mercy";"College/University";"1"
2590;"Mo Williams";2003;2;18;47;"Draft";1610612762;"Utah";"Jazz";"UTA";"Alabama";"College/University";"1"
2591;"James Lang";2003;2;19;48;"Draft";1610612740;"New Orleans";"Hornets";"NOH";"Central Park Christian";"High School";"1"
2592;"James Jones";2003;2;20;49;"Draft";1610612754;"Indiana";"Pacers";"IND";"Miami (FL)";"College/University";"1"
2598;"Rick Rickert";2003;2;26;55;"Draft";1610612750;"Minnesota";"Timberwolves";"MIN";"Minnesota";"College/University";"1"
2599;"Brandon Hunter";2003;2;27;56;"Draft";1610612738;"Boston";"Celtics";"BOS";"Ohio";"College/University";"1"
2600;"Xue Yuyang";2003;2;28;57;"Draft";1610612742;"Dallas";"Mavericks";"DAL";"Hong Kong Flying Dragons (China)";"Other Team/Club";"0"
2602;"Jerome Beasley";2003;2;4;33;"Draft";1610612748;"Miami";"Heat";"MIA";"North Dakota";"College/University";"1"
2731;"Emeka Okafor";2004;1;2;2;"Draft";1610612766;"Charlotte";"Bobcats";"CHA";"Connecticut";"College/University";"1"
2733;"Shaun Livingston";2004;1;4;4;"Draft";1610612746;"Los Angeles";"Clippers";"LAC";"Peoria";"High School";"1"
2734;"Devin Harris";2004;1;5;5;"Draft";1610612764;"Washington";"Wizards";"WAS";"Wisconsin";"College/University";"1"
2736;"Luol Deng";2004;1;7;7;"Draft";1610612756;"Phoenix";"Suns";"PHX";"Duke";"College/University";"1"
2740;"Andris Biedrins";2004;1;11;11;"Draft";1610612744;"Golden State";"Warriors";"GSW";"BK Skonto (Latvia)";"Other Team/Club";"1"
2741;"Robert Swift";2004;1;12;12;"Draft";1610612760;"Seattle";"SuperSonics";"SEA";"Bakersfield";"High School";"1"
2743;"Kris Humphries";2004;1;14;14;"Draft";1610612762;"Utah";"Jazz";"UTA";"Minnesota";"College/University";"1"
2744;"Al Jefferson";2004;1;15;15;"Draft";1610612738;"Boston";"Celtics";"BOS";"Prentiss";"High School";"1"
2745;"Kirk Snyder";2004;1;16;16;"Draft";1610612762;"Utah";"Jazz";"UTA";"Nevada-Reno";"College/University";"1"
2747;"JR Smith";2004;1;18;18;"Draft";1610612740;"New Orleans";"Hornets";"NOH";"Saint Benedict's Preparatory School";"High School";"1"
2748;"Dorell Wright";2004;1;19;19;"Draft";1610612748;"Miami";"Heat";"MIA";"South Kent School";"High School";"1"
2750;"Pavel Podkolzin";2004;1;21;21;"Draft";1610612762;"Utah";"Jazz";"UTA";"Pallacanestro Varese (Italy)";"Other Team/Club";"1"
2753;"Delonte West";2004;1;24;24;"Draft";1610612738;"Boston";"Celtics";"BOS";"Saint Joseph's";"College/University";"1"
2754;"Tony Allen";2004;1;25;25;"Draft";1610612738;"Boston";"Celtics";"BOS";"Oklahoma State";"College/University";"1"
2755;"Kevin Martin";2004;1;26;26;"Draft";1610612758;"Sacramento";"Kings";"SAC";"Western Carolina";"College/University";"1"
2758;"David Harrison";2004;1;29;29;"Draft";1610612754;"Indiana";"Pacers";"IND";"Colorado";"College/University";"1"
2762;"Peter John Ramos";2004;2;3;32;"Draft";1610612764;"Washington";"Wizards";"WAS";"Criollos de Caguas (Puerto Rico)";"Other Team/Club";"1"
2763;"Lionel Chalmers";2004;2;4;33;"Draft";1610612746;"Los Angeles";"Clippers";"LAC";"Xavier";"College/University";"1"
2765;"Andre Emmett";2004;2;6;35;"Draft";1610612760;"Seattle";"SuperSonics";"SEA";"Texas Tech";"College/University";"1"
2770;"Justin Reed";2004;2;11;40;"Draft";1610612738;"Boston";"Celtics";"BOS";"Mississippi";"College/University";"1"
2772;"Trevor Ariza";2004;2;14;43;"Draft";1610612752;"New York";"Knicks";"NYK";"California-Los Angeles";"College/University";"1"
2773;"Tim Pickett";2004;2;15;44;"Draft";1610612740;"New Orleans";"Hornets";"NOH";"Florida State";"College/University";"1"
2774;"Bernard Robinson";2004;2;16;45;"Draft";1610612766;"Charlotte";"Bobcats";"CHA";"Michigan";"College/University";"1"
2776;"Pape Sow";2004;2;18;47;"Draft";1610612748;"Miami";"Heat";"MIA";"Cal State-Fullerton";"College/University";"1"
2777;"Ricky Minard";2004;2;19;48;"Draft";1610612758;"Sacramento";"Kings";"SAC";"Morehead State";"College/University";"1"
2779;"Vassilis Spanoulis";2004;2;21;50;"Draft";1610612742;"Dallas";"Mavericks";"DAL";"Maroussi B.C. (Greece)";"Other Team/Club";"1"
2782;"Matt Freije";2004;2;24;53;"Draft";1610612748;"Miami";"Heat";"MIA";"Vanderbilt";"College/University";"1"
2786;"Blake Stepp";2004;2;29;58;"Draft";1610612750;"Minnesota";"Timberwolves";"MIN";"Gonzaga";"College/University";"1"
2787;"Rashad Wright";2004;2;30;59;"Draft";1610612754;"Indiana";"Pacers";"IND";"Georgia";"College/University";"1"
2801;"David Young";2004;2;12;41;"Draft";1610612760;"Seattle";"SuperSonics";"SEA";"North Carolina Central";"College/University";"1"
101108;"Chris Paul";2005;1;4;4;"Draft";1610612740;"New Orleans/Oklahoma City";"Hornets";"NOK";"Wake Forest";"College/University";"1"
101109;"Raymond Felton";2005;1;5;5;"Draft";1610612766;"Charlotte";"Bobcats";"CHA";"North Carolina";"College/University";"1"
101112;"Channing Frye";2005;1;8;8;"Draft";1610612752;"New York";"Knicks";"NYK";"Arizona";"College/University";"1"
101113;"Ike Diogu";2005;1;9;9;"Draft";1610612744;"Golden State";"Warriors";"GSW";"Arizona State";"College/University";"1"
