"player_name";"team_id";"team_abbr";"max_game_date";"GP";"W";"L";"W_PCT";"MIN";"FGM";"FGA";"FG_PCT";"FG3M";"FG3A";"FG3_PCT";"FTM";"FTA";"FT_PCT";"OREB";"DREB";"REB";"AST";"TOV";"STL";"BLK";"BLKA";"PF";"PFD";"PTS";"PLUS_MINUS";"NBA_FANTASY_PTS";"DD2";"TD3";"WNBA_FANTASY_PTS";"GP_RANK";"W_RANK";"L_RANK";"W_PCT_RANK";"MIN_RANK";"FGM_RANK";"FGA_RANK";"FG_PCT_RANK";"FG3M_RANK";"FG3A_RANK";"FG3_PCT_RANK";"FTM_RANK";"FTA_RANK";"FT_PCT_RANK";"OREB_RANK";"DREB_RANK";"REB_RANK";"AST_RANK";"TOV_RANK";"STL_RANK";"BLK_RANK";"BLKA_RANK";"PF_RANK";"PFD_RANK";"PTS_RANK";"PLUS_MINUS_RANK";"NBA_FANTASY_PTS_RANK";"DD2_RANK";"TD3_RANK";"WNBA_FANTASY_PTS_RANK"
"Precious Achiuwa";1610612752;"NYK";"2024-04-02";43;27;16;0.628;1112.415;152;283;0.537;12;46;0.261;45;70;0.643;137;194;331;50;49;29;54;23;92;53;361;28;1033;7;0;920;4;4;1;2;3;3;3;2;4;4;4;4;4;2;2;3;2;2;3;3;1;2;3;4;3;2;3;2;1;3
"Bam Adebayo";1610612748;"MIA";"2024-04-02";64;36;28;0.563;2194.4483333333333;486;931;0.522;10;30;0.333;279;371;0.752;144;536;680;254;149;74;61;43;144;320;1261;43;2714;39;2;2475;5;4;2;3;3;2;2;6;1;1;1;3;3;4;4;2;3;3;4;5;4;5;2;4;2;4;3;2;2;3
"Grayson Allen";1610612756;"PHX";"2024-04-01";69;41;28;0.594;2317.596666666667;311;616;0.505;189;403;0.469;115;131;0.878;43;220;263;217;88;60;43;22;146;125;926;210;1788;1;0;1801;2;3;6;3;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;4;6;1;1;3;1;1;1;1
"Deni Avdija";1610612764;"WAS";"2024-04-02";69;14;55;0.203;2051.9766666666665;370;729;0.508;80;211;0.379;173;235;0.736;81;414;495;264;145;55;29;68;172;221;993;-333;2090;15;0;2000;3;4;4;4;1;1;1;1;2;3;1;1;1;3;1;1;1;1;1;3;2;4;2;1;1;4;1;1;1;1
"Udoka Azubuike";1610612756;"PHX";"2024-02-14";14;10;4;0.714;107.345;16;22;0.727;0;0;0.0;3;11;0.273;11;21;32;3;4;1;6;3;17;8;35;-38;95;1;0;84;4;4;2;2;3;3;3;3;1;1;1;4;2;4;3;3;3;2;3;2;3;3;2;3;3;2;3;1;1;3
"Marvin Bagley III";1610612764;"WAS";"2024-04-02";24;5;19;0.208;574.9483333333334;132;227;0.581;8;17;0.471;46;65;0.708;84;110;194;28;30;15;19;24;41;56;318;-63;665;9;0;616;6;6;3;5;5;4;5;2;5;7;1;5;4;5;4;5;5;4;4;4;4;6;2;4;4;2;4;3;1;4
"Amari Bailey";1610612766;"CHA";"2024-03-29";8;0;8;0.0;31.0;3;12;0.25;0;5;0.0;1;2;0.5;2;0;2;2;1;1;0;0;0;1;7;3;14;0;0;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Patrick Baldwin Jr.";1610612764;"WAS";"2024-03-31";32;6;26;0.188;330.9316666666667;33;105;0.314;18;65;0.277;13;19;0.684;13;70;83;20;14;10;11;4;37;17;97;-26;276;0;0;260;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1
"LaMelo Ball";1610612766;"CHA";"2024-01-26";22;7;15;0.318;711.35;183;423;0.433;70;197;0.355;90;104;0.865;29;84;113;176;83;40;4;14;79;90;526;-139;975;7;1;973;4;4;1;4;4;4;4;2;4;4;3;4;4;2;4;4;4;4;4;4;4;1;1;4;4;3;4;3;3;4
"Harrison Barnes";1610612758;"SAC";"2024-04-02";75;44;31;0.587;2195.435;325;676;0.481;142;356;0.399;135;168;0.804;60;161;221;88;53;48;11;24;93;147;927;-106;1448;0;0;1496;8;6;6;4;8;6;8;3;1;2;3;9;10;7;10;12;11;11;12;8;8;2;4;9;7;9;9;12;1;8
"Bradley Beal";1610612756;"PHX";"2024-04-01";46;28;18;0.609;1524.2383333333332;317;634;0.5;79;203;0.389;96;121;0.793;43;150;193;235;116;45;18;29;109;91;809;71;1466;3;0;1442;11;7;1;2;11;11;12;2;11;12;4;12;12;7;8;11;10;9;10;10;8;2;3;12;11;5;11;6;2;11
"Davis Bertans";1610612766;"CHA";"2024-04-01";22;7;15;0.318;447.745;61;159;0.384;52;136;0.382;13;15;0.867;5;34;39;21;10;16;6;5;32;15;187;-84;321;0;0;343;8;10;3;10;8;7;8;8;7;8;7;8;7;5;9;9;9;6;7;6;7;5;3;8;8;10;8;2;1;8
"Davis Bertans";1610612760;"OKC";"2024-01-31";15;11;4;0.733;91.10833333333332;10;26;0.385;10;24;0.417;14;15;0.933;2;8;10;9;1;3;3;1;10;8;44;24;87;0;0;85;10;9;1;3;10;10;10;7;10;10;3;7;7;1;10;10;10;10;10;10;10;2;1;10;10;6;10;2;1;10
"Bismack Biyombo";1610612760;"OKC";"2024-03-29";7;4;3;0.571;39.656666666666666;1;4;0.25;0;0;0.0;2;4;0.5;3;3;6;2;4;1;1;2;6;2;4;-3;16;0;0;16;14;14;1;3;14;14;14;14;1;4;1;14;14;10;14;14;14;14;14;14;14;1;1;14;14;4;14;14;1;14
"Bojan Bogdanovic";1610612752;"NYK";"2024-04-02";22;11;11;0.5;437.5366666666667;82;197;0.416;35;101;0.347;29;37;0.784;8;41;49;21;32;5;1;12;34;25;228;-72;304;0;0;345;12;10;1;7;12;12;12;12;12;12;12;12;12;11;12;12;12;11;12;12;10;1;1;12;12;7;12;4;1;12
"Bol Bol";1610612756;"PHX";"2024-04-01";37;24;13;0.649;411.2416666666667;83;134;0.619;19;45;0.422;13;17;0.765;30;92;122;16;15;6;22;2;39;10;198;26;437;1;0;411;2;2;4;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;2;2;1;2;2;1;2
"Devin Booker";1610612756;"PHX";"2024-04-01";61;38;23;0.623;2181.165;590;1189;0.496;136;370;0.368;354;402;0.881;50;239;289;422;154;52;27;46;187;312;1670;264;2733;12;0;2675;7;3;4;4;6;5;6;1;5;7;3;4;4;2;1;4;3;3;8;5;1;2;5;6;6;3;3;1;1;3
"James Bouknight";1610612766;"CHA";"2024-02-04";14;0;14;0.0;80.9;18;41;0.439;13;30;0.433;1;2;0.5;1;8;9;6;2;1;1;2;3;3;50;-11;74;0;0;82;3;3;1;3;3;3;3;1;3;3;1;3;3;3;3;3;3;3;3;3;2;1;1;3;3;1;3;1;1;3
"Miles Bridges";1610612766;"CHA";"2024-04-01";64;15;49;0.234;2418.9333333333334;527;1143;0.461;150;427;0.351;163;200;0.815;68;411;479;216;129;63;30;60;111;160;1367;-607;2416;19;0;2398;5;5;5;5;2;2;2;4;2;2;2;2;2;2;4;2;2;2;2;2;5;4;1;2;2;5;2;1;1;2
"Jaylen Brown";1610612738;"BOS";"2024-03-30";66;50;16;0.758;2215.7116666666666;595;1185;0.502;138;385;0.358;204;291;0.701;78;286;364;239;151;77;32;67;173;234;1532;441;2503;5;1;2491;5;1;1;1;3;2;3;1;4;4;4;3;3;5;1;4;3;1;4;1;1;6;6;4;3;2;2;5;2;3
"Kendall Brown";1610612754;"IND";"2024-04-01";13;8;5;0.615;50.458333333333336;6;11;0.545;0;1;0.0;5;8;0.625;3;1;4;4;1;0;0;0;8;6;17;-28;27;0;0;25;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;2;2;1;1;2
"Kobe Brown";1610612746;"LAC";"2024-04-02";39;25;14;0.641;300.49833333333333;26;65;0.4;12;39;0.308;1;2;0.5;10;37;47;17;7;6;3;4;42;3;65;-58;167;0;0;159;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Greg Brown III";1610612742;"DAL";"2024-01-05";6;3;3;0.5;39.74333333333333;5;11;0.455;1;3;0.333;4;9;0.444;3;6;9;4;4;0;4;1;5;5;15;-9;40;0;0;37;3;3;1;2;3;3;3;1;2;3;1;3;3;2;2;3;3;2;3;3;3;1;1;3;3;2;3;1;1;3
"Jalen Brunson";1610612752;"NYK";"2024-04-02";70;43;27;0.614;2456.866666666667;697;1466;0.475;189;476;0.397;362;430;0.842;39;211;250;459;170;63;13;55;132;422;1945;436;2992;6;0;2995;3;2;2;2;2;1;1;4;1;1;3;1;1;1;3;2;2;1;1;2;2;6;4;1;1;1;1;2;1;1
"Thomas Bryant";1610612748;"MIA";"2024-03-31";37;21;16;0.568;417.9683333333333;78;139;0.561;4;21;0.19;39;45;0.867;37;94;131;22;19;10;15;9;45;31;199;-1;445;1;0;406;4;2;4;2;5;4;5;5;6;5;7;4;4;2;4;4;4;5;4;4;5;5;5;5;5;1;4;4;1;4
"Alec Burks";1610612752;"NYK";"2024-04-02";20;9;11;0.45;282.8183333333333;49;156;0.314;24;80;0.3;22;31;0.71;8;29;37;16;14;4;1;9;10;22;144;-70;213;0;0;231;14;12;4;9;15;15;15;17;14;10;16;16;16;17;15;15;15;16;16;17;15;3;2;16;15;12;16;6;1;15
"Jared Butler";1610612764;"WAS";"2024-04-02";34;6;28;0.176;425.12;74;149;0.497;19;59;0.322;21;24;0.875;7;34;41;95;40;21;5;8;40;33;188;-35;418;0;0;395;2;2;3;3;1;1;2;1;2;2;2;1;1;1;1;2;2;1;1;1;2;3;2;1;1;3;1;1;1;1
"Jordan Clarkson";1610612762;"UTA";"2024-03-25";55;22;33;0.4;1682.3416666666667;337;816;0.413;91;309;0.294;177;201;0.881;49;139;188;277;146;35;6;51;81;140;942;-191;1560;6;1;1580;8;6;8;7;7;7;7;12;8;7;12;2;3;3;6;7;8;1;3;8;10;8;5;6;7;8;7;1;1;7
"Bilal Coulibaly";1610612764;"WAS";"2024-03-16";63;11;52;0.175;1715.25;188;432;0.435;64;185;0.346;92;131;0.702;56;200;256;110;87;57;48;43;137;101;532;-419;1232;1;0;1172;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Stephen Curry";1610612744;"GSW";"2024-04-02";69;40;29;0.58;2254.373333333333;605;1354;0.447;332;821;0.404;279;302;0.924;36;264;300;347;195;50;24;48;109;253;1821;153;2729;7;0;2948;8;9;12;9;9;8;6;13;4;2;13;6;6;3;10;10;11;12;10;13;2;11;3;7;7;10;10;10;6;8
"Dyson Daniels";1610612740;"NOP";"2024-04-01";54;30;24;0.556;1174.7416666666666;117;267;0.438;33;115;0.287;32;50;0.64;56;145;201;143;53;76;21;11;88;38;299;95;993;1;0;870;2;2;1;2;1;1;1;1;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;2;1;1;1;1;1;1
"Johnny Davis";1610612764;"WAS";"2024-04-02";45;8;37;0.178;515.635;48;134;0.358;8;33;0.242;10;17;0.588;18;47;65;25;8;15;9;10;43;18;114;-110;294;0;0;260;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;2;2;1;1;2;1;2;2;2;2;1;1;2
"JD Davison";1610612738;"BOS";"2024-03-22";6;6;0;1.0;11.443333333333332;2;3;0.667;2;3;0.667;2;2;1.0;1;2;3;1;0;0;0;0;1;1;8;8;13;0;0;14;2;2;1;1;2;2;2;1;1;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;2;1;2;1;1;2
"Moussa Diabate";1610612746;"LAC";"2024-03-01";11;7;4;0.636;64.23833333333333;10;19;0.526;0;0;0.0;9;14;0.643;15;9;24;4;2;5;1;3;4;10;29;-2;80;0;0;69;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;1;1;2;2;1;2;1;1;2
"Ousmane Dieng";1610612760;"OKC";"2024-03-20";31;19;12;0.613;341.62;43;104;0.413;20;67;0.299;14;16;0.875;10;40;50;33;17;5;3;3;20;14;120;-1;237;0;0;239;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2
"Chris Duarte";1610612758;"SAC";"2024-04-02";55;33;22;0.6;698.3633333333333;79;203;0.389;43;121;0.355;26;33;0.788;26;76;102;42;24;28;8;11;75;46;227;-72;496;0;0;486;1;1;1;1;3;3;3;2;3;3;2;3;3;3;2;3;3;3;3;2;3;1;2;3;3;2;3;1;1;3
"Kris Dunn";1610612762;"UTA";"2024-04-02";65;25;40;0.385;1225.5766666666666;144;308;0.468;41;110;0.373;18;27;0.667;49;139;188;253;78;67;28;18;132;30;347;9;1159;1;0;1019;2;2;7;1;5;4;5;2;2;3;2;6;6;7;1;5;2;3;4;5;2;4;4;6;4;1;3;4;1;3
"Kevin Durant";1610612756;"PHX";"2024-04-01";68;39;29;0.574;2525.701666666667;686;1300;0.528;153;364;0.42;342;400;0.855;37;422;459;350;227;62;88;44;119;339;1867;250;3166;14;1;3129;9;10;14;15;10;7;9;5;4;6;4;12;12;15;10;10;11;7;7;10;4;12;7;7;8;12;8;11;6;8
"Anthony Edwards";1610612750;"MIN";"2024-04-02";72;50;22;0.694;2538.083333333333;660;1430;0.462;172;480;0.358;383;461;0.831;47;353;400;369;225;92;41;54;129;303;1875;448;3083;9;0;3082;2;1;1;1;2;2;2;1;3;4;2;1;1;1;3;2;2;1;2;3;3;2;1;1;2;1;2;1;1;2
"Dante Exum";1610612742;"DAL";"2024-04-02";49;31;18;0.633;947.5216666666666;149;271;0.55;49;95;0.516;51;66;0.773;22;102;124;139;42;21;5;16;77;72;398;180;791;0;0;762;3;3;4;2;3;2;3;1;2;3;1;3;3;5;3;2;3;2;4;2;4;6;6;3;2;1;2;2;1;3
"De'Aaron Fox";1610612758;"SAC";"2024-04-02";67;40;27;0.597;2391.468333333333;643;1390;0.463;183;508;0.36;295;400;0.738;64;240;304;383;177;134;29;64;176;308;1764;206;3015;6;0;2960;4;2;1;2;3;2;1;5;1;1;2;4;4;3;1;3;2;4;3;1;2;4;6;4;2;1;1;5;2;1
"Keyonte George";1610612762;"UTA";"2024-04-02";69;25;44;0.362;1858.1766666666667;285;739;0.386;132;397;0.332;176;207;0.85;14;184;198;310;166;34;7;48;83;188;878;-352;1538;1;0;1600;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Paul George";1610612746;"LAC";"2024-04-02";69;44;25;0.638;2352.6583333333333;547;1162;0.471;231;560;0.413;232;257;0.903;35;328;363;244;137;107;34;52;190;207;1557;422;2645;2;0;2677;7;5;7;5;7;6;7;1;3;4;1;7;8;1;11;7;8;9;9;8;4;7;7;9;6;3;7;11;5;7
"Josh Giddey";1610612760;"OKC";"2024-04-02";74;52;22;0.703;1841.2883333333332;370;777;0.476;78;227;0.344;85;108;0.787;103;361;464;341;146;48;42;63;99;84;903;322;2095;7;2;1966;2;1;1;1;2;2;2;2;1;2;1;2;2;1;2;2;2;3;3;3;1;2;2;3;2;1;2;3;3;2
"Shai Gilgeous-Alexander";1610612760;"OKC";"2024-03-31";71;51;20;0.718;2443.97;763;1416;0.539;92;252;0.365;532;610;0.872;62;332;394;447;156;148;64;73;179;458;2150;538;3773;8;0;3507;2;1;2;1;1;1;1;1;1;2;3;2;2;2;1;2;2;1;2;1;2;5;5;2;1;1;1;2;3;1
"Eric Gordon";1610612756;"PHX";"2024-04-01";62;37;25;0.597;1762.99;261;583;0.448;143;372;0.384;48;60;0.8;16;104;120;132;69;57;28;39;76;59;713;105;1241;0;0;1278;6;4;7;5;9;10;10;7;4;4;6;16;16;11;9;9;9;11;13;5;3;9;8;15;10;4;9;3;1;9
"Draymond Green";1610612744;"GSW";"2024-04-02";50;30;20;0.6;1337.5183333333334;174;349;0.499;45;117;0.385;53;70;0.757;70;292;362;300;121;49;42;17;150;114;446;143;1482;8;1;1335;10;11;6;8;9;8;9;3;7;10;2;11;11;5;6;9;9;8;9;11;10;5;3;9;8;10;9;7;6;9
"Josh Green";1610612742;"DAL";"2024-03-14";54;31;23;0.574;1436.415;175;355;0.493;71;177;0.401;37;55;0.673;38;136;174;125;57;45;9;29;105;73;458;-49;959;0;0;936;3;2;2;2;2;2;2;3;1;1;2;2;2;3;3;1;2;1;2;1;2;4;2;2;2;4;2;3;1;2
"Tyrese Haliburton";1610612754;"IND";"2024-04-01";63;36;27;0.571;2025.9283333333333;463;969;0.478;179;486;0.368;179;208;0.861;34;215;249;695;145;74;42;53;67;154;1284;257;2828;42;1;2639;1;1;2;1;1;1;1;3;1;1;5;1;1;2;3;1;1;1;1;4;1;5;2;2;1;1;1;1;1;1
