"person_id";"player_name";"from_year";"to_year";"team_id";"team_city";"team_name";"team_abbr";"games_played_flag"
101108;"Chris Paul";2005;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
201142;"Kevin Durant";2007;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
201566;"Russell Westbrook";2008;2023;1610612746;"LA";"Clippers";"LAC";"Y"
201569;"Eric Gordon";2008;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
201577;"Robin Lopez";2008;2023;0;"";"";"";"Y"
201580;"JaVale McGee";2008;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
201935;"James Harden";2009;2023;1610612746;"LA";"Clippers";"LAC";"Y"
201939;"Stephen Curry";2009;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
202330;"Gordon Hayward";2010;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
202331;"Paul George";2010;2023;1610612746;"LA";"Clippers";"LAC";"Y"
202687;"Bismack Biyombo";2011;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
202691;"Klay Thompson";2011;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
202692;"Alec Burks";2011;2023;1610612752;"New York";"Knicks";"NYK";"Y"
202693;"Markieff Morris";2011;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
202695;"Kawhi Leonard";2011;2023;1610612746;"LA";"Clippers";"LAC";"Y"
202711;"Bojan Bogdanovic";2014;2023;1610612752;"New York";"Knicks";"NYK";"Y"
202722;"Davis Bertans";2016;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
203078;"Bradley Beal";2012;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
203084;"Harrison Barnes";2012;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
203110;"Draymond Green";2012;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
203458;"Alex Len";2013;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
203469;"Cody Zeller";2013;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
203490;"Otto Porter Jr.";2013;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
203501;"Tim Hardaway Jr.";2013;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
203903;"Jordan Clarkson";2014;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
203939;"Dwight Powell";2014;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
203957;"Dante Exum";2014;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
204001;"Kristaps Porzingis";2015;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1626157;"Karl-Anthony Towns";2015;2023;1610612750;"Minnesota";"Timberwolves";"MIN";"Y"
1626164;"Devin Booker";2015;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
1626167;"Myles Turner";2015;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1626168;"Trey Lyles";2015;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1626172;"Kevon Looney";2015;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1626179;"Terry Rozier";2015;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1626196;"Josh Richardson";2015;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1627734;"Domantas Sabonis";2016;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1627739;"Kris Dunn";2016;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
1627759;"Jaylen Brown";2016;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1628368;"De'Aaron Fox";2017;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1628369;"Jayson Tatum";2017;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1628370;"Malik Monk";2017;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1628373;"Frank Ntilikina";2017;2023;0;"";"";"";"Y"
1628374;"Lauri Markkanen";2017;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
1628389;"Bam Adebayo";2017;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1628404;"Josh Hart";2017;2023;1610612752;"New York";"Knicks";"NYK";"Y"
1628418;"Thomas Bryant";2017;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1628960;"Grayson Allen";2018;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
1628962;"Udoka Azubuike";2020;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
1628963;"Marvin Bagley III";2018;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1628970;"Miles Bridges";2018;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1628973;"Jalen Brunson";2018;2023;1610612752;"New York";"Knicks";"NYK";"Y"
1628983;"Shai Gilgeous-Alexander";2018;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1628995;"Kevin Knox II";2018;2023;0;"";"";"";"Y"
1628998;"Cody Martin";2019;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1629006;"Josh Okogie";2018;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
1629010;"Jerome Robinson";2018;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1629011;"Mitchell Robinson";2018;2023;1610612752;"New York";"Knicks";"NYK";"Y"
1629023;"P.J. Washington";2019;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
1629611;"Terance Mann";2019;2023;1610612746;"LA";"Clippers";"LAC";"Y"
1629614;"Andrew Nembhard";2022;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1629626;"Bol Bol";2019;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
1629627;"Zion Williamson";2019;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
1629639;"Tyler Herro";2019;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1629669;"Jaylen Nowell";2019;2023;0;"";"";"";"Y"
1629673;"Jordan Poole";2019;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1629674;"Neemias Queta";2021;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1629684;"Grant Williams";2019;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1630162;"Anthony Edwards";2020;2023;1610612750;"Minnesota";"Timberwolves";"MIN";"Y"
1630163;"LaMelo Ball";2020;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1630166;"Deni Avdija";2020;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1630167;"Obi Toppin";2020;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1630169;"Tyrese Haliburton";2020;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1630173;"Precious Achiuwa";2020;2023;1610612752;"New York";"Knicks";"NYK";"Y"
1630174;"Aaron Nesmith";2020;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1630182;"Josh Green";2020;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
1630184;"Kira Lewis Jr.";2020;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
1630188;"Jalen Smith";2020;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1630197;"Aleksej Pokusevski";2020;2023;0;"";"";"";"Y"
1630202;"Payton Pritchard";2020;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1630208;"Nick Richards";2020;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1630214;"Xavier Tillman";2020;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1630215;"Jared Butler";2021;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1630228;"Jonathan Kuminga";2021;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1630240;"Saben Lee";2020;2023;1610612756;"Phoenix";"Suns";"PHX";"Y"
1630526;"Jeremiah Robinson-Earl";2021;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
1630529;"Herbert Jones";2021;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
1630535;"Greg Brown III";2021;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
