"name";"position";"height";"weight";"last_attended";"country"
"Precious Achiuwa";"Forward";"'6'8""";243;"Memphis";"Nigeria"
"Bam Adebayo";"Center-Forward";"'6'9""";255;"Kentucky";"USA"
"Grayson Allen";"Guard";"'6'4""";198;"Duke";"USA"
"Deni Avdija";"Forward";"'6'9""";210;"Maccabi Tel Aviv";"Israel"
"Udoka Azubuike";"Center-Forward";"'6'11""";270;"Kansas";"Nigeria"
"Marvin Bagley III";"Forward";"'6'10""";235;"Duke";"USA"
"Amari Bailey";"Guard";"'6'3""";185;"UCLA";"USA"
"Patrick Baldwin Jr.";"Forward";"'6'9""";220;"Wisconsin-Milwaukee";"USA"
"LaMelo Ball";"Guard";"'6'7""";180;"Illawarra";"USA"
"Harrison Barnes";"Forward";"'6'8""";225;"North Carolina";"USA"
"Bradley Beal";"Guard";"'6'4""";207;"Florida";"USA"
"Davis Bertans";"Forward";"'6'10""";225;"Baskonia";"Latvia"
"Bismack Biyombo";"Center";"'6'8""";255;"Baloncesto Fuenlabrada";"DRC"
"Bojan Bogdanovic";"Forward";"'6'7""";226;"Fenerbahce";"Croatia"
"Bol Bol";"Center-Forward";"'7'3""";220;"Oregon";"Sudan"
"Devin Booker";"Guard";"'6'6""";206;"Kentucky";"USA"
"James Bouknight";"Guard";"'6'4""";190;"Connecticut";"USA"
"Miles Bridges";"Forward";"'6'7""";225;"Michigan State";"USA"
"Jaylen Brown";"Guard-Forward";"'6'6""";223;"California";"USA"
"Kendall Brown";"Guard";"'6'7""";205;"Baylor";"USA"
"Kobe Brown";"Forward";"'6'7""";250;"Missouri";"USA"
"Greg Brown III";"Forward";"'6'7""";206;"Texas";"USA"
"Jalen Brunson";"Guard";"'6'2""";190;"Villanova";"USA"
"Thomas Bryant";"Center-Forward";"'6'10""";248;"Indiana";"USA"
"Alec Burks";"Guard";"'6'5""";214;"Colorado";"USA"
"Jared Butler";"Guard";"'6'3""";193;"Baylor";"USA"
"Jaylen Clark";"Guard";"'6'4""";205;"UCLA";"USA"
"Jordan Clarkson";"Guard";"'6'3""";194;"Missouri";"USA"
"Bilal Coulibaly";"Guard";"'6'8""";195;"Metropolitans 92";"France"
"Stephen Curry";"Guard";"'6'2""";185;"Davidson";"USA"
"Dyson Daniels";"Guard";"'6'7""";199;"NBA G League Ignite";"Australia"
"Johnny Davis";"Guard";"'6'2""";170;"Dayton";"USA"
"Johnny Davis";"Guard";"'6'4""";195;"Wisconsin";"USA"
"JD Davison";"Guard";"'6'1""";195;"Alabama";"USA"
"Moussa Diabate";"Forward";"'6'9""";210;"Michigan";"France"
"Ousmane Dieng";"Forward";"'6'9""";185;"New Zealand Breakers";"France"
"Chris Duarte";"Guard";"'6'5""";190;"Oregon";"Dominican Republic"
"Kris Dunn";"Guard";"'6'3""";205;"Providence";"USA"
"Kevin Durant";"Forward";"'6'11""";240;"Texas";"USA"
"Anthony Edwards";"Guard";"'6'4""";225;"Georgia";"USA"
"Dante Exum";"Guard";"'6'5""";214;"Australian Institute of Sport";"Australia"
"De'Aaron Fox";"Guard";"'6'3""";185;"Kentucky";"USA"
"Keyonte George";"Guard";"'6'4""";185;"Baylor";"USA"
"Paul George";"Forward";"'6'8""";220;"Fresno State";"USA"
"Josh Giddey";"Guard";"'6'8""";216;"NBA Global Academy";"Australia"
"Shai Gilgeous-Alexander";"Guard";"'6'6""";195;"Kentucky";"Canada"
"Eric Gordon";"Guard";"'6'3""";215;"Indiana";"USA"
"Draymond Green";"Forward";"'6'6""";230;"Michigan State";"USA"
"Josh Green";"Guard";"'6'5""";200;"Arizona";"Australia"
"Tyrese Haliburton";"Guard";"'6'5""";185;"Iowa State";"USA"
"Tim Hardaway Jr.";"Guard-Forward";"'6'5""";205;"Michigan";"USA"
"James Harden";"Guard";"'6'5""";220;"Arizona State";"USA"
"Jaden Hardy";"Guard";"'6'3""";198;"NBA G League Ignite";"USA"
"Josh Hart";"Guard";"'6'4""";215;"Villanova";"USA"
"Jordan Hawkins";"Guard";"'6'5""";190;"Connecticut";"USA"
"Gordon Hayward";"Forward";"'6'7""";225;"Butler";"USA"
"Taylor Hendricks";"Forward";"'6'9""";215;"Central Florida";"USA"
"Tyler Herro";"Guard";"'6'5""";195;"Kentucky";"USA"
"Chet Holmgren";"Center-Forward";"'7'1""";208;"Gonzaga";"USA"
"Trayce Jackson-Davis";"Forward";"'6'9""";245;"Indiana";"USA"
"Jaime Jaquez Jr.";"Guard";"'6'6""";225;"UCLA";"USA"
"Keyontae Johnson";"Forward";"'6'4""";230;"Kansas State";"USA"
"Colby Jones";"Guard";"'6'6""";207;"Xavier";"USA"
"Herbert Jones";"Forward";"'6'7""";206;"Alabama";"USA"
"Nikola Jovic";"Forward";"'6'10""";205;"Mega Basket";"Serbia"
"Corey Kispert";"Forward";"'6'6""";224;"Gonzaga";"USA"
"Kevin Knox II";"Forward";"'6'7""";215;"Kentucky";"USA"
"Jonathan Kuminga";"Forward";"'6'7""";225;"NBA G League Ignite";"DRC"
"Saben Lee";"Guard";"'6'2""";183;"Vanderbilt";"USA"
"Alex Len";"Center";"'7'0""";250;"Maryland";"Ukraine"
"Kawhi Leonard";"Forward";"'6'7""";225;"San Diego State";"USA"
"Kira Lewis Jr.";"Guard";"'6'1""";170;"Alabama";"USA"
"E.J. Liddell";"Forward";"'6'6""";240;"Ohio State";"USA"
